economy,Pop-YR2002,Pop-YR2021,Pop%,Life-YR2002,Life-YR2021,Life%,Fer-YR2002,Fer-YR2021,Fer%,Death-YR2002,Death-YR2021,Death%,Birth-YR2002,Birth-YR2021,Birth%,Med_Age-YR2002,Med_Age-YR2021,Med%,Pop_Gro-YR2002,Pop_Gro-YR2021
CZE,10196916,10505772,0.03028915801601184,75.2219512195122,77.3731707317073,0.028598294478129338,1.17,1.83,0.5641025641025643,10.6,13.3,0.2547169811320755,9.1,10.6,0.16483516483516492,37.0,42.6,0.15135135135135136,-0.192901617564167,-1.81187141002542
DEU,82488495,83196078,0.008577959871858498,78.2292682926829,80.9009756097561,0.03415227286899092,1.34,1.58,0.17910447761194037,10.2,12.3,0.20588235294117663,8.7,9.6,0.10344827586206895,39.9,44.9,0.12531328320802015,0.168128319406931,0.0423270572552137
DJI,789129,1105557,0.4009838695574488,57.215,62.305,0.08896268461067902,4.379,2.804,-0.35967115779858416,10.52,9.147,-0.13051330798479077,32.788,22.205,-0.32277052580212273,19.5,23.7,0.21538461538461529,3.04136539252469,1.40284750995694
DMA,68262,72412,0.06079517154492975,72.34,72.814,0.006552391484655695,2.276,1.595,-0.2992091388400703,9.61,8.986,-0.06493236212278863,16.867,13.326,-0.20993656251852733,27.5,31.6,0.14909090909090916,0.159806506904842,0.577535935346367
DNK,5375931,5856733,0.08943604372898384,76.8951219512195,81.4048780487805,0.058648142861674524,1.72,1.72,0.0,10.9,9.8,-0.1009174311926605,11.9,10.8,-0.09243697478991597,37.7,41.3,0.0954907161803713,0.319487125340996,0.433414489409722
DOM,8795101,11117873,0.2640983884096384,69.923,72.615,0.03849949229867122,2.774,2.273,-0.18060562364816146,6.202,6.678,0.07674943566591419,23.868,18.432,-0.22775263951734537,21.8,27.1,0.24311926605504586,1.4436803902991,1.06892666709415
DZA,31624696,44177969,0.39694525443027184,71.23,76.377,0.07225887968552569,2.456,2.889,0.17630293159609112,4.932,4.546,-0.07826439578264399,19.421,21.524,0.10828484630039648,21.7,27.8,0.28110599078341014,1.34886695233422,1.65770320084269
EAP,1850472928,2123628421,0.14761388230371342,71.5001923568857,75.5432912976843,0.05654668620495307,1.85366968136116,1.52044206107285,-0.17976645118542323,6.58882881447699,7.65466901633683,0.16176474330581692,15.4064569310889,10.5435143429303,-0.31564314948660277,,,,0.892592238484482,0.342553723704171
EAR,2591204247,3411889759,0.3167197309707095,65.2226549082517,68.4674058312014,0.049748832326958814,3.25161946415029,2.35096167336198,-0.27698745216598375,7.74678352768731,8.30194167162363,0.07166305111691385,26.2885044913073,18.9294543871044,-0.2799341478948064,,,,1.78177192000899,1.08900802143967
EAS,2083969920,2370196777,0.13734692341432653,72.4501596339701,76.3939111633585,0.05443399364905277,1.80020140852998,1.48943341378691,-0.17262956981954525,6.61134013170069,7.81855062195732,0.18259694195253728,14.8002926925782,10.1747731371613,-0.31252892435947754,,,,0.843921782209691,0.264601358589744
